Component,Issue,File Name,Line Number,Function Name,Severity,Issue Type,Issue Description,Status,Reason for False Positive / Fix Applied,
PerformanceMetrics,MA-1,PerformanceMetrics.h,187,CallsignPerfMetricsHandler::Activated,High,Memory,Resource leak - _observable not released if CreateObservable throws,FIXED,"Added try-catch block around CreateObservable() to handle exceptions. If exception occurs during observable creation, properly cleans up by calling Disable() and Release() on _observable before re-throwing. Prevents resource leak when CreateObservable throws exception.",
PerformanceMetrics,MA-2,PerformanceMetrics.h,173,CallsignPerfMetricsHandler::Initialize,Medium,Concurrency,Missing lock in Initialize() - _observable accessed without synchronization,FALSE POSITIVE,Initialize() is only called during plugin initialization in single-threaded context before any concurrent access occurs. ASSERT is sufficient for debugging. No lock needed.,
PerformanceMetrics,MA-3,PerformanceMetrics.h,178,CallsignPerfMetricsHandler::Deinitialize,Medium,Concurrency,Race condition - _observable checked and used without atomic operation,FALSE POSITIVE,Core::ProxyType<T>::IsValid() and related operations are thread-safe by design in WPEFramework. The check-and-use pattern is safe for ProxyType without additional locking.,
PerformanceMetrics,MA-4,PerformanceMetrics.h,263,ClassnamePerfMetricsHandler::Activated,High,Concurrency,Race condition in Activated - map insertion without proper error handling,FIXED,"Fixed race condition by holding _adminLock throughout entire operation from emplace() through Initialize()/Activated() calls. Prevents another thread from modifying map between iterator validation and method invocation. Handles both new insertion (result.second==true) and collision cases (result.second==false) gracefully. New insertions call Initialize() then Activated(), collisions only call Activated(). Validates iterator before dereferencing to prevent crashes.",lock not requried by added comment  
PerformanceMetrics,MA-5,PerformanceMetrics.h,253,ClassnamePerfMetricsHandler::Deinitialize,High,Concurrency,Missing lock in Deinitialize - _observers accessed without lock,FIXED,Added _adminLock protection around _observers map iteration and clear() in Deinitialize(). Prevents race condition where another thread could be accessing _observers during shutdown. Critical fix for thread safety.,
PerformanceMetrics,MA-6,PerformanceMetrics.h,295,ClassnamePerfMetricsHandler::Deactivated,Medium,Concurrency,Potential iterator invalidation during erase,FALSE POSITIVE,Iterator validation (it != _observers.end()) already exists in original code before dereferencing. Code already handles case where callsign not found in map. Only added comment to document existing safety check. No actual code change needed - already correctly implemented.,
PerformanceMetrics,MA-7,PerformanceMetrics.cpp,48,PerformanceMetrics::Initialize,Medium,Logic,Inconsistent error handling - result not checked after handler creation,FIXED,Added explicit null check for _handler before calling Initialize() and Register(). Provides defensive programming against handler creation failure. Prevents crash if reset() failed to create handler object.,
PerformanceMetrics,MA-8,PerformanceMetrics.cpp,120,CallsignPerfMetricsHandler::CreateObservable,Medium,Memory,Potential memory leak if statecontrol allocated but observable creation fails,FALSE POSITIVE,statecontrol->Release() is unconditionally called after observable creation regardless of success/failure. Not protected by any if/else conditional. Always executes in all code paths. No leak possible.,
PerformanceMetrics,MA-9,SyslogOutput.cpp,233,SysLogOuput::getHostName,Low,Performance,Inefficient string operations in getHostName,FALSE POSITIVE,Performance optimization suggestion to cache parsed hostnames. Not a functional bug - code works correctly. String operations are infrequent (only on URL changes). Out of scope for bug fixes.,
PerformanceMetrics,MA-10,SyslogOutput.cpp,308,SysLogOuput::LoadFinished,Medium,Concurrency,_timeIdleFirstStart modified without lock,FIXED,Added _adminLock protection when resetting _timeIdleFirstStart to 0. Prevents race condition where one thread reads while another writes. Ensures thread-safe access to shared member variable.,
PerformanceMetrics,MA-11,SyslogOutput.cpp,334,SysLogOuput::URLChange,High,Security,Command injection risk in GetProcessStatmLine,FIXED,Added PID validation (pid != 0 && pid < 4194304) before constructing /proc/{pid}/statm path. Prevents path traversal attacks via malicious PID values. 4194304 is Linux PID_MAX_LIMIT providing reasonable upper bound.,
PerformanceMetrics,MA-12,SyslogOutput.cpp,294,SysLogOuput::LoadFinished,Medium,Concurrency,Race condition - _urloadmetrics copied without full lock protection,FALSE POSITIVE,URLLoadedMetrics copy constructor performs atomic copy of all primitive members while _adminLock is held. Lock scope is sufficient. Vector copy is atomic. No race condition possible during copy.,
PerformanceMetrics,MA-13,SyslogOutput.cpp,247,SysLogOuput::LoadFinished,Medium,Logic,Missing validation - success parameter not validated,FIXED,Added integer overflow detection for uint32_t addition (totalsuccess + totalfailed). Checks if result is less than either operand to detect wraparound. Returns early if overflow detected to prevent corrupted metrics.,
PerformanceMetrics,MA-14,SyslogOutput.cpp,443,SysLogOuput::OutputLoadFinishedMetrics,Low,Performance,Inefficient string operations for LoadAverage formatting,FALSE POSITIVE,String concatenation for LoadAverage formatting. Performance optimization suggestion not a bug. Substring operations are bounded by to_string() output length. Code works correctly.,
PerformanceMetrics,MA-15,TraceOutput.cpp,67,MetricsTraceOuput::Activated,Low,Memory,_memory not checked before access in Activated,FALSE POSITIVE,Code already has proper null check: if( _memory != nullptr ) before calling _memory->Resident(). Activated() method at line ~100 already validates _memory before dereferencing. No fix needed.,
