Component,File Path,Line Number,Severity,Issue Type,Issue Description,Code Snippet,Suggested Fix,Source,
STL,/usr/include/c++/11/bits/hashtable.h,304,Unclassified,CTOR_DTOR_LEAK,"std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, WPEFramework::Plugin::PerformanceMetrics::CallsignPerfMetricsHandler>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, WPEFramework::Plugin::PerformanceMetrics::CallsignPerfMetricsHandler> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_Scoped_node::_Scoped_node<std::piecewise_construct_t const &, std::tuple<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > &&>, std::tuple<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > &&> >(std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, WPEFramework::Plugin::PerformanceMetrics::CallsignPerfMetricsHandler>, true> > > *, <std::piecewise_construct_t const &, std::tuple<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > &&>, std::tuple<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > &&>...> &&...)",,Coverity,,
STL,/usr/include/c++/11/bits/hashtable.h,304,Unclassified,CTOR_DTOR_LEAK,"std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, WPEFramework::PluginHost::JSONRPC::Observer>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, WPEFramework::PluginHost::JSONRPC::Observer> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_Scoped_node::_Scoped_node<std::piecewise_construct_t const &, std::tuple<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const &>, std::tuple<> >(std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, WPEFramework::PluginHost::JSONRPC::Observer>, true> > > *, <std::piecewise_construct_t const &, std::tuple<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const &>, std::tuple<>...> &&...)",,Coverity,,
STL,/usr/include/c++/11/bits/hashtable.h,304,Unclassified,CTOR_DTOR_LEAK,"std::_Hashtable<unsigned int, std::pair<unsigned int const, WPEFramework::RPC::Communicator::RemoteConnection *>, std::allocator<std::pair<unsigned int const, WPEFramework::RPC::Communicator::RemoteConnection *> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_Scoped_node::_Scoped_node<std::piecewise_construct_t const &, std::tuple<unsigned int &&>, std::tuple<WPEFramework::RPC::Communicator::RemoteConnection *&> >(std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<unsigned int const, WPEFramework::RPC::Communicator::RemoteConnection *>, false> > > *, <std::piecewise_construct_t const &, std::tuple<unsigned int &&>, std::tuple<WPEFramework::RPC::Communicator::RemoteConnection *&>...> &&...)",,Coverity,,
WPEFramework,install/usr/include/WPEFramework/core/JSON.h,2486,Unclassified,INTEGER_OVERFLOW,"WPEFramework::Core::JSON::Buffer::Serialize(unsigned char *, unsigned short, unsigned int &) const",,Coverity,,
WPEFramework,install/usr/include/WPEFramework/core/JSON.h,3617,Unclassified,INTEGER_OVERFLOW,"WPEFramework::Core::JSON::Container::Serialize(char *, unsigned short, unsigned int &) const",,Coverity,,
WPEFramework,install/usr/include/WPEFramework/core/IPCConnector.h,116,Unclassified,INTEGER_OVERFLOW,"WPEFramework::Core::IMessage::Serializer::Serialize(unsigned char *, unsigned short)",,Coverity,,
WPEFramework,install/usr/include/WPEFramework/core/JSON.h,3631,Unclassified,INTEGER_OVERFLOW,"WPEFramework::Core::JSON::Container::Serialize(char *, unsigned short, unsigned int &) const",,Coverity,,
WPEFramework,install/usr/include/WPEFramework/com/Communicator.h,1193,Unclassified,INVALIDATE_ITERATOR,"WPEFramework::RPC::Communicator::RemoteConnectionMap::Request(WPEFramework::Core::ProxyType<WPEFramework::Core::IPCChannelClientType<WPEFramework::RPC::Communicator::ChannelLink, false, false> > &, WPEFramework::RPC::Data::Init const &)",,Coverity,,
WPEFramework,install/usr/include/WPEFramework/core/ResourceMonitor.h,336,Unclassified,MISSING_LOCK,"WPEFramework::Core::ResourceMonitorType<WPEFramework::Core::IResource, WPEFramework::Core::Void>::Initialize()",,Coverity,,
PerformanceMetrics,PerformanceMetrics/PerformanceMetrics.h,253,Unclassified,MISSING_LOCK,WPEFramework::Plugin::PerformanceMetrics::ClassnamePerfMetricsHandler::Deinitialize(),,Coverity,,
